Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Yu, D.; Lord, N.; Polk, J.; Dhakal, K.; Li, S.; Yin, Y.; Duncan, S.E.; Wang, H.; Zhang, B.; Huang, H.","Yu, Dajun (57210337458); Lord, Nick (57218632790); Polk, Justin (57256971000); Dhakal, Kshitiz (57219644878); Li, Song (56193293800); Yin, Yun (57202149999); Duncan, Susan Ellen (7202422819); Wang, Hengjian (8096102200); Zhang, Bo (55777912600); Huang, Haibo (55738272100)",57210337458; 57218632790; 57256971000; 57219644878; 56193293800; 57202149999; 7202422819; 8096102200; 55777912600; 55738272100,Physical and chemical properties of edamame during bean development and application of spectroscopy-based machine learning methods to predict optimal harvest time,2022,Food Chemistry,368,,130799,,,26,10.1016/j.foodchem.2021.130799,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114816680&doi=10.1016%2Fj.foodchem.2021.130799&partnerID=40&md5=e3c3f91a82decc46fe182cd5b1ebcc37,"This study aims to investigate the changes in physical and chemical properties of edamame during bean development and apply a spectroscopy-based machine learning (ML) technique to determine optimal harvest time. The edamame harvested at R5 (beginning seed), R6 (full seed), and R7 (beginning maturity) growth stages were characterized for physical and chemical properties, and pods were measured for spectral reflectance (360–740 nm) using a handheld spectrophotometer. The samples were categorized into ‘early’, ‘ready’, and ‘late’ based on the characterized properties. The results showed that pod/bean weight and pod thickness peaked at R6 and remained stable thereafter. Sugar, starch, alanine, and glycine also peaked at R6 but proceeded to decline. The ML method (random forest classification) using pods’ spectral reflectance had a high accuracy of 0.95 for classifying ‘early’ and ‘late’ samples and 0.87 for classifying ‘early’ and ‘ready’ samples. Therefore, this method can determine the optimal harvest time of edamame. © 2021 Elsevier Ltd",Edamame; Harvest time; Machine learning; Nutrition; Spectrum,Article,Final,,Scopus,2-s2.0-85114816680
"Lord, N.; Zhang, B.; Neill, C.L.","Lord, Nick (57218632790); Zhang, Bo (55777912600); Neill, Clinton L. (57191168323)",57218632790; 55777912600; 57191168323,"Investigating Consumer Demand and Willingness to Pay for Fresh, Local, Organic, and “On-the-Stalk” Edamame",2021,Frontiers in Sustainable Food Systems,5,,651505,,,5,10.3389/fsufs.2021.651505,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114887976&doi=10.3389%2Ffsufs.2021.651505&partnerID=40&md5=654cb1e97f4bc657976e7f4524dad6e8,"Introduction of locally adapted, commercially viable edamame varieties can allow it to be marketed as fresh, local, organic, or on the stalk. Here, we utilized a one-and-one-half bounded (OOHB) elicitation format to estimate mean willingness to pay (WTP) for these external attributes in relation to a vector of explanatory variables. Results showed 84-, 85-, and 28-cent premiums for fresh, local, and organic edamame (10 oz). Pro-environmental attitudes drove WTP for all three of these attributes, while shopping location significantly increased mean WTP for fresh and organic attributes. A 40-cent price discount was observed for the “on-the-stalk” attribute, suggesting that convenience also plays an important role in marketing edamame. The results suggest that more research regarding edamame demand is warranted. © Copyright © 2021 Lord, Zhang and Neill.",consumer preference; economics; edamame; local; one-and-one-half bound dichotomous choice; organic; willingness to pay,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85114887976
"Lord, N.; Shang, C.; Luciana Rosso, L.; Zhang, B.","Lord, Nick (57218632790); Shang, Chao (35821987100); Luciana Rosso, Maria (25724706400); Zhang, Bo (55777912600)",57218632790; 35821987100; 25724706400; 55777912600,Development of near-infrared reflectance spectroscopy calibration for sugar content in ground soybean seed using Perten DA7250 analyzer,2021,Crop Science,61,2,,966,975,11,10.1002/csc2.20358,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099921056&doi=10.1002%2Fcsc2.20358&partnerID=40&md5=36c81480bac6789824d614aaeb5d0d12,"There is growing interest in developing calibrations for soybean [Glycine max (L.) Merr.] seed sugars on near-infrared reflectance spectroscopy (NIRS) instruments to increase the efficiency of sugar profiling. In this study, a set of 253 samples from Virginia Tech's soybean germplasm with a wide range of sugar content were used to create prediction models for sucrose, raffinose, and stachyose in ground soybean seed on the Perten DA7250 NIRS instrument. Following acquisition of spectral data, seed sugars were extracted from ground samples and analyzed using high-performance liquid chromatography (HPLC) to obtain reference data. Spectral and HPLC data were modeled using partial least squares regression (PLSR) on CAMO Unscrambler X software and internally cross-validated using the same software. Resulting calibrations showed high quantitative accuracy with the coefficient of determination of calibration (R2<inf>C</inf>) =.901, the coefficient of determination of cross-validation (R2<inf>CV</inf>) =.869, root mean squared error of calibration (RMSEC) =.516, and root mean squared error of cross-validation (RMSECV) of.596 for sucrose and R2<inf>C</inf> =.911, R2<inf>CV</inf> =.891, RMSEC =.361, and RMSECV of.405 for stachyose. These calibrations appear suitable for use in breeding operations. Meanwhile, performance of the raffinose calibration remained poor with R2<inf>C</inf> =.568, R2<inf>CV</inf> =.476, RMSEC =.129, and RMSECV =.143. Alternative methods for more accurate and rapid quantification of raffinose concentration in soybean seed should be investigated. © 2020 The Authors. Crop Science © 2020 Crop Science Society of America",,Article,Final,,Scopus,2-s2.0-85099921056
"Yu, D.; Lin, T.; Sutton, K.; Lord, N.; Carneiro, R.; Jin, Q.; Zhang, B.; Kuhar, T.; Rideout, S.; Ross, J.; Duncan, S.; Yin, Y.; Wang, H.; Huang, H.","Yu, Dajun (57210337458); Lin, Tiantian (57384596600); Sutton, Kemper L. (57222197912); Lord, Nick (57218632790); Carneiro, Renata C.V. (57217422294); Jin, Qing (57200815236); Zhang, Bo (55777912600); Kuhar, Thomas Peter (6701793912); Rideout, Steven L. (6603594302); Ross, Jeremy (57199223131); Duncan, Susan Ellen (7202422819); Yin, Yun (57202149999); Wang, Hengjian (8096102200); Huang, Haibo (55738272100)",57210337458; 57384596600; 57222197912; 57218632790; 57217422294; 57200815236; 55777912600; 6701793912; 6603594302; 57199223131; 7202422819; 57202149999; 8096102200; 55738272100,Chemical Compositions of Edamame Genotypes Grown in Different Locations in the US,2021,Frontiers in Sustainable Food Systems,5,,620426,,,20,10.3389/fsufs.2021.620426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101870229&doi=10.3389%2Ffsufs.2021.620426&partnerID=40&md5=0e3206b294442d6ee8086898a6f9e271,"The consumption of edamame [Glycine max (L.) Merr.] in the US has rapidly increased due to its nutritional value and potential health benefits. In this study, 10 edamame genotypes were planted in duplicates in three different locations in the US—Whitethorne, Virginia (VA), Little Rock, Arkansas (AR), and Painter, VA. Edamame samples were harvested at the R6 stage of the bean development when beans filled 80–90% of the pod cavity. Afterward, comprehensive chemical composition analysis, including sugars, alanine, protein, oil, neutral detergent fiber (NDF), starch, ash, and moisture contents, were conducted on powdered samples using standard methods and the total sweetness was calculated based on the measured sugars and alanine contents. Significant effects of the location were observed on all chemical constituents of edamame (p < 0.05). The average performance of the genotypes was higher in Whitethorne for the contents of free sucrose (59.29 mg/g), fructose (11.42 mg/g), glucose (5.38 mg/g), raffinose (5.32 mg/g), stachyose (2.34 mg/g), total sweetness (78.63 mg/g), and starch (15.14%) when compared to Little Rock and Painter. The highest soluble alanine (2.67 mg/g), NDF (9.00%), ash (5.60%), and moisture (70.36%) contents were found on edamame planted in Little Rock while edamame planted in Painter had the highest crude protein (43.11%) and oil (20.33%) contents. Significant effects of genotype were observed on most of the chemical constituents (p < 0.05) except NDF and raffinose. Among the 10 genotypes, R13-5029 consistently had high sucrose content and total sweetness across the three locations, meanwhile it had relatively high protein and fiber contents. Overall, the results indicate that to breed better edamame genotypes in the US, both genotype and planting location should be taken into considerations. © Copyright © 2021 Yu, Lin, Sutton, Lord, Carneiro, Jin, Zhang, Kuhar, Rideout, Ross, Duncan, Yin, Wang and Huang.",chemical composition; edamame; genotype; location; sweetness,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85101870229
