Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Luo, C.; Zhou, Z.J.; Liu, Y.H.; Zhou, X.M.","Luo, Can (57222656743); Zhou, Zimeng Jamie (60120707500); Liu, Yichen Henry (57221354250); Zhou, Xin Maizie (57226235469)",57222656743; 60120707500; 57221354250; 57226235469,FocalSV enables target region–based structural variant assembly and refinement using single-molecule long-read sequencing data,2025,Genome Research,35,10,,2252,2272,0,10.1101/gr.280282.124,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017439609&doi=10.1101%2Fgr.280282.124&partnerID=40&md5=65c26e2d23300a76f68ec85486730b1b,"Structural variants (SVs) play a critical role in shaping the diversity of the human genome, and their detection holds significant potential for advancing precision medicine. Despite notable progress in single-molecule long-read sequencing technologies, accurately identifying SV breakpoints and resolving their sequence remains a major challenge. Current alignment-based tools often struggle with precise breakpoint detection and sequence characterization, whereas whole-genome assembly-based methods are computationally demanding and less practical for targeted analyses. Neither approach is ideally suited for scenarios where regions of interest are predefined and require precise SV characterization. To address this gap, we introduce FocalSV, a targeted SV detection framework that integrates both assembly- and alignment-based signals. By combining the precision of local assemblies with the efficiency of region-specific analysis, FocalSV enables more accurate SV detection. FocalSV supports user-defined target regions and can automatically identify and expand regions with potential structural variants to enable more comprehensive detection. FocalSV is evaluated on 10 germline data sets and two paired normal-tumor cancer data sets, demonstrating superior performance in both precision and efficiency. © 2025 Luo et al.",,Article,Final,All Open Access; Bronze Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105017439609
"Luo, C.; Peters, B.A.; Zhou, X.M.","Luo, Can (57222656743); Peters, Brock A. (9336104100); Zhou, Xin Maizie (57226235469)",57222656743; 9336104100; 57226235469,Large indel detection in region-based phased diploid assemblies from linked-reads,2025,BMC Genomics,26,Suppl 2,263,,,0,10.1186/s12864-025-11398-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000291716&doi=10.1186%2Fs12864-025-11398-z&partnerID=40&md5=2b7489df838497ea8a82486a2d41b5cd,"Background: Linked-reads improve de novo assembly, haplotype phasing, structural variant (SV) detection, and other applications through highly-multiplexed genome partitioning and barcoding. Whole genome assembly and assembly-based variant detection based on linked-reads often require intensive computation costs and are not suitable for large population studies. Here we propose an efficient pipeline, RegionIndel, a region-based diploid assembly approach to characterize large indel SVs. This pipeline only focuses on target regions (50kb by default) to extract barcoded reads as input and then integrates a haplotyping algorithm and local assembly to generate phased diploid contiguous sequences (contigs). Finally, it detects variants in the contigs through a pairwise contig-to-reference comparison. Results: We applied RegionIndel on two linked-reads libraries of sample HG002, one using 10x and the other stLFR. HG002 is a well-studied sample and the Genome in a Bottle (GiaB) community provides a gold standard SV set for it. RegionIndel outperformed several assembly and alignment-based SV callers in our benchmark experiments. After assembling all indel SVs, RegionIndel achieved an overall F1 score of 74.8% in deletions and 61.8% in insertions for 10x linked-reads, and 64.3% in deletions and 36.7% in insertions for stLFR linked-reads, respectively. Furthermore, it achieved an overall genotyping accuracy of 83.6% and 80.8% for 10x and stLFR linked-reads, respectively. Conclusions: RegionIndel can achieve diploid assembly and detect indel SVs in each target region. The phased diploid contigs can further allow us to investigate indel SVs with nearby linked single nucleotide polymorphism (SNPs) and small indels in the same haplotype. © The Author(s) 2025.",Diploid assembly; Linked-reads; Phasing; Region-based; Structural variants,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-105000291716
"Luo, C.; Liu, Y.H.; Zhou, X.M.","Luo, Can (57222656743); Liu, Yichen Henry (57221354250); Zhou, Xin Maizie (57226235469)",57222656743; 57221354250; 57226235469,VolcanoSV enables accurate and robust structural variant calling in diploid genomes from single-molecule long read sequencing,2024,Nature Communications,15,1,6956,,,4,10.1038/s41467-024-51282-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201246696&doi=10.1038%2Fs41467-024-51282-0&partnerID=40&md5=410824746da73f98d1dc1e59dbc92991,"Structural variants (SVs) significantly contribute to human genome diversity and play a crucial role in precision medicine. Although advancements in single-molecule long-read sequencing offer a groundbreaking resource for SV detection, identifying SV breakpoints and sequences accurately and robustly remains challenging. We introduce VolcanoSV, an innovative hybrid SV detection pipeline that utilizes both a reference genome and local de novo assembly to generate a phased diploid assembly. VolcanoSV uses phased SNPs and unique k-mer similarity analysis, enabling precise haplotype-resolved SV discovery. VolcanoSV is adept at constructing comprehensive genetic maps encompassing SNPs, small indels, and all types of SVs, making it well-suited for human genomics studies. Our extensive experiments demonstrate that VolcanoSV surpasses state-of-the-art assembly-based tools in the detection of insertion and deletion SVs, exhibiting superior recall, precision, F1 scores, and genotype accuracy across a diverse range of datasets, including low-coverage (10x) datasets. VolcanoSV outperforms assembly-based tools in the identification of complex SVs, including translocations, duplications, and inversions, in both simulated and real cancer data. Moreover, VolcanoSV is robust to various evaluation parameters and accurately identifies breakpoints and SV sequences. © The Author(s) 2024.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85201246696
"Hu, Y.; Xie, M.; Li, Y.; Rao, M.; Shen, W.; Luo, C.; Qin, H.; Baek, J.; Zhou, X.M.","Hu, Yunfei (57223201246); Xie, Manfei (58946221500); Li, Yikang (58946595400); Rao, Mingxing (58946721400); Shen, Wenjun (57045143300); Luo, Can (57222656743); Qin, Haoran (59032928300); Baek, Jihoon (59033610100); Zhou, Xin Maizie (57226235469)",57223201246; 58946221500; 58946595400; 58946721400; 57045143300; 57222656743; 59032928300; 59033610100; 57226235469,"Benchmarking clustering, alignment, and integration methods for spatial transcriptomics",2024,Genome Biology,25,1,212,,,49,10.1186/s13059-024-03361-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200896810&doi=10.1186%2Fs13059-024-03361-0&partnerID=40&md5=f5fea9d745df97791d556b5534ce762d,"Background: Spatial transcriptomics (ST) is advancing our understanding of complex tissues and organisms. However, building a robust clustering algorithm to define spatially coherent regions in a single tissue slice and aligning or integrating multiple tissue slices originating from diverse sources for essential downstream analyses remains challenging. Numerous clustering, alignment, and integration methods have been specifically designed for ST data by leveraging its spatial information. The absence of comprehensive benchmark studies complicates the selection of methods and future method development. Results: In this study, we systematically benchmark a variety of state-of-the-art algorithms with a wide range of real and simulated datasets of varying sizes, technologies, species, and complexity. We analyze the strengths and weaknesses of each method using diverse quantitative and qualitative metrics and analyses, including eight metrics for spatial clustering accuracy and contiguity, uniform manifold approximation and projection visualization, layer-wise and spot-to-spot alignment accuracy, and 3D reconstruction, which are designed to assess method performance as well as data quality. The code used for evaluation is available on our GitHub. Additionally, we provide online notebook tutorials and documentation to facilitate the reproduction of all benchmarking results and to support the study of new methods and new datasets. Conclusions: Our analyses lead to comprehensive recommendations that cover multiple aspects, helping users to select optimal tools for their specific needs and guide future method development. © The Author(s) 2024.",3D reconstruction; Alignment; Batch correction; Benchmarking; Clustering; Integration; Spatial transcriptomics,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85200896810
"Liu, Y.H.; Luo, C.; Golding, S.G.; Ioffe, J.B.; Zhou, X.M.","Liu, Yichen Henry (57221354250); Luo, Can (57222656743); Golding, Staunton G.H. (58034192900); Ioffe, Jacob B. (57223179278); Zhou, Xin Maizie (57226235469)",57221354250; 57222656743; 58034192900; 57223179278; 57226235469,Tradeoffs in alignment and assembly-based methods for structural variant detection with long-read sequencing data,2024,Nature Communications,15,1,2447,,,27,10.1038/s41467-024-46614-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188105348&doi=10.1038%2Fs41467-024-46614-z&partnerID=40&md5=c71578d601c022a21b2e01b9511ad970,"Long-read sequencing offers long contiguous DNA fragments, facilitating diploid genome assembly and structural variant (SV) detection. Efficient and robust algorithms for SV identification are crucial with increasing data availability. Alignment-based methods, favored for their computational efficiency and lower coverage requirements, are prominent. Alternative approaches, relying solely on available reads for de novo genome assembly and employing assembly-based tools for SV detection via comparison to a reference genome, demand significantly more computational resources. However, the lack of comprehensive benchmarking constrains our comprehension and hampers further algorithm development. Here we systematically compare 14 read alignment-based SV calling methods (including 4 deep learning-based methods and 1 hybrid method), and 4 assembly-based SV calling methods, alongside 4 upstream aligners and 7 assemblers. Assembly-based tools excel in detecting large SVs, especially insertions, and exhibit robustness to evaluation parameter changes and coverage fluctuations. Conversely, alignment-based tools demonstrate superior genotyping accuracy at low sequencing coverage (5-10×) and excel in detecting complex SVs, like translocations, inversions, and duplications. Our evaluation provides performance insights, highlighting the absence of a universally superior tool. We furnish guidelines across 31 criteria combinations, aiding users in selecting the most suitable tools for diverse scenarios and offering directions for further method development. © The Author(s) 2024.",,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85188105348
"Luo, C.; Datar, P.A.; Liu, Y.H.; Zhou, X.","Luo, Can (57222656743); Datar, Parth A. (58075704100); Liu, Yichen Henry (57221354250); Zhou, Xin Maizie (57226235469)",57222656743; 58075704100; 57221354250; 57226235469,Haplotype-phasing of long-read HiFi data to enhance structural variant detection through a Skip-Gram model,2022,"Proceedings - 2022 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2022",,,,2326,2333,0,10.1109/BIBM55620.2022.9995293,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146698133&doi=10.1109%2FBIBM55620.2022.9995293&partnerID=40&md5=73c330226bdae428f357966cc843de62,"Haplotype-resolved assembly is the optimal approach to characterize structural variants (SVs) in the human genome. Current long-read technologies, such as high-fidelity (HiFi) reads provide both low sequencing error and long-range information which enable phased, diploid assembly. Here we introduce embSV, a haplotype-phasing-assisted diploid assembly-based SV detection tool, which takes advantage of a word-embedding model inspired by natural language processing to faithfully partition HiFi reads for local haplotype-specific assembly. The genome-wide haplotype-resolved assembly then allows us to comprehensively detect SVs. To thoroughly test the performance and robustness of embSV and compare it with existing SV callers, we have run several benchmarking experiments. Tuning different parameters that can affect breakpoint shift and alternate sequence similarity between called SVs and the gold standard reveals that embSV outperforms existing tools and is the most robust tool to parameter change. © 2022 IEEE.",diploid assembly; long reads; NLP; PacBio; phasing; structural variant,Conference paper,Final,,Scopus,2-s2.0-85146698133
"Luo, C.; Terry, J.G.; Tang, Y.; Xu, K.; Massion, P.P.; Landman, B.A.; Carr, J.J.; Huo, Y.","Luo, Can (57222656743); Terry, James G. (7103365576); Tang, Yucheng (57212614566); Xu, Kaiwen (57218363938); Massion, Pierre Pascal (6603670631); Landman, Bennett Allan (16679175200); Carr, John Jeffrey (55792206400); Huo, Yuankai (56830058500)",57222656743; 7103365576; 57212614566; 57218363938; 6603670631; 16679175200; 55792206400; 56830058500,Measure partial liver volumetric variations from paired inspiratory-expiratory chest CT scans,2021,Progress in Biomedical Optics and Imaging - Proceedings of SPIE,11596,,1159637,,,0,10.1117/12.2581077,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103664531&doi=10.1117%2F12.2581077&partnerID=40&md5=4f5f339c305f2e2041385c84913bbed8,"Liver stiffness is an essential clinical biomarker for diagnosing liver fibrosis and cirrhosis. In current clinical practice, elastography techniques are standard non-invasive diagnosis tools to assess stiffness of liver, using either Ultrasound (US) or magnetic resonance imaging (MRI). However, the US elastography yields ≈ 10 % failure rate and degraded performance on obese patients, while the MR elastography is costlier and less available. Compared with US and MRI, the computerized tomography (CT) imaging has not been widely used in measuring liver stiffness. In this paper, we performed a pilot study to assess if volumetric variations of liver can be captured from paired inspiratory-expiratory chest (PIEC) CT scans. To enable the assessment, we propose a Hierarchical Intra- Patient Organ-specific (HIPO) registration pipeline to quantify the partial liver volumetric variations with lung pressure from a respiratory cycle. The PIEC protocol is employed since it naturally provides two paired CT scans with liver deformation from regulated respiratory motions. For the subjects whose registration results passed both an automatic quantitative quality assurance (QA) and another visual qualitative QA, 6:0% average volumetric variations of liver were measured, from inspiratory phase to expiratory phase. Future clinical validations will be required to validate the findings in this pilot study. © 2021 SPIE.",Cirrhosis diagnosis; Liver registration; Liver segmentation; Liver volumetric variation,Conference paper,Final,All Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85103664531
