Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Hong, M.K.; Fazio, L.K.","Hong, Min Kyung (57212390821); Fazio, Lisa K. (15057744500)",57212390821; 15057744500,Exemplar learners and rule learners: Stable tendencies or malleable preferences?,2024,Journal of Experimental Psychology: Applied,30,2,,331,343,1,10.1037/xap0000509,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189309506&doi=10.1037%2Fxap0000509&partnerID=40&md5=c32c89bcda99d71e4cf326ec82478d49,"When learning new concepts, students tend to use either exemplar-based learning strategies (e.g., memorizing specific examples) or rule-based learning strategies (e.g., abstracting general rules). Prior research suggests that participants’ strategy choices during learning depend on individuals’ preexisting learning tendencies, with some people being exemplar learners and others rule learners. Yet, strategy choices are also influenced by how the study materials are taught (rule-focused or exemplar-focused). The present study examined how these two factors interact using an alphanumeric symbol addition task. We examined whether exemplar learners would switch to using rule-based strategies when given rule-focused training and if rule learners would fail to learn the rule when given exemplar-focused training. We found that both rule and exemplar learners used a rule-based strategy after a rule-focused training and neither group learned the rule after an exemplar-focused training. Our results suggest that individuals can be shaped to adopt either rule-based or exemplar-based strategies during learning, regardless of their inherent learning tendencies. Past studies examining individual differences in learning styles highlighted the disadvantage “exemplar learners” face in science, technology, engineering, and mathematics disciplines. Unlike rule learners, exemplar learners struggle with rule-based knowledge transfer, leading to poor test performance when testing does not match their practice experiences. Our present study examined if rule learning can be facilitated with rule-focused training. Individuals who were identified as rule and exemplar learners were given a symbol addition task where the underlying rule was either emphasized or hidden from the participants. Our results showed that with training, exemplar learners can successfully learn rule-based materials and demonstrate knowledge transfer. (PsycInfo Database Record (c) 2024 APA, all rights reserved) © 2024, (American Psychological Association). All Rights Reserved.",exemplar focused training; exemplar learning; individual differences; instruction; learning strategy; preferences; rule focused training; rule learning; teaching method; transfer,Article,Final,,Scopus,2-s2.0-85189309506
"Hong, M.K.; Gunn, J.B.; Fazio, L.K.; Polyn, S.M.","Hong, Min Kyung (57212390821); Gunn, Jordan B. (59269001400); Fazio, Lisa K. (15057744500); Polyn, Sean M. (57204401394)",57212390821; 59269001400; 15057744500; 57204401394,The Modulation and Elimination of Temporal Organization in Free Recall,2023,Journal of Experimental Psychology: Learning Memory and Cognition,50,7,,1035,1068,6,10.1037/xlm0001311,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183387578&doi=10.1037%2Fxlm0001311&partnerID=40&md5=02bcf187c59b505defbc93b0d1985421,"Experiences occur in a continual succession, and the temporal structure of those experiences is often preserved in memory. The temporal contiguity effect of free recall reveals the temporal structure of memory: when a particular item is remembered, the next response is likely to come from a nearby list position. This effect is remarkably robust, appearing across a wide variety of methodological variations of the task. The temporal contiguity effect is also central to retrieved-context models, which propose temporal organization arises from the interaction of a temporal context representation with the contents of memory. Across six experiments, we demonstrate methodological manipulations that dramatically modulate and even eliminate temporal organization in free recall.We find that temporal organization is strongly modulated and in some cases potentially eliminated by strong semantic structure, the presence of retrieval practice, and a long list length. Other factors such as orienting task, paired-associate item structure, and retention interval duration have more subtle effects on temporal organization. In an accompanying set of simulations, we show that the modulation and elimination of the temporal organization follows lawful patterns predicted by the context maintenance and retrieval (CMR) retrieved-context model. We also find cases where CMR does not specifically predict the modulation of temporal organization, and in these cases our analysis suggests how the theory might be developed to account for these effects. © 2023 American Psychological Association",computational modeling; episodic memory; memory search; retrieved-context theory; temporal context,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85183387578
"Fazio, L.K.; Hong, M.K.; Pillai, R.M.","Fazio, Lisa K. (15057744500); Hong, Min Kyung (57212390821); Pillai, Raunak M. (57219391086)",15057744500; 57212390821; 57219391086,Combatting rumors around the French election: the memorability and effectiveness of fact-checking articles,2023,Cognitive Research: Principles and Implications,8,1,44,,,6,10.1186/s41235-023-00500-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164847254&doi=10.1186%2Fs41235-023-00500-2&partnerID=40&md5=2cb782d85b14b86b858d42d6bf7e76c8,"Across four studies, we examined the how design decisions influenced the effectiveness of fact-checking articles created by CrossCheck France during the 2017 French election. We measured both memory for the article and belief in the false rumor. We saw no difference in fact check efficacy based on the type of headline (question vs negation) or the number of newsroom logos present around the article (one, four, or seven). In addition, informative design features such as an icon identifying the type of misinformation were ignored by readers. Participants failed to remember many of the details from the article, but retrieval practice was beneficial in reducing forgetting over a 1-week delay. In both US and French samples, reading the fact check decreased belief in the false information, even 1 week later. However, the articles were much more effective in the US sample, who lacked relevant prior knowledge and political beliefs. Overall, fact-checking articles can be effective at reducing belief in false information, but readers tend to forget the details and ignore peripheral information. © 2023, The Author(s).",Correction; Debunk; Fact check; Misinformation,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85164847254
"Phillips-Galloway, E.P.; Hsin, L.B.; Jensen, B.; LaRusso, M.D.; Hong, M.K.; Mankowski, K.","Phillips-Galloway, Emily (56483319700); Hsin, Lisa B. (55766113200); Jensen, Bryant T. (10242059600); LaRusso, Maria D. (12139018800); Hong, Min Kyung (57212390821); Mankowski, Kalley (57338003000)",56483319700; 55766113200; 10242059600; 12139018800; 57212390821; 57338003000,Examining the role of learner and classroom characteristics in the later language learning of Latinx youth and their classmates,2021,Journal of Applied Developmental Psychology,77,,101353,,,2,10.1016/j.appdev.2021.101353,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119064506&doi=10.1016%2Fj.appdev.2021.101353&partnerID=40&md5=cea7412c1ea0ce49bad30b06d0f2e4b6,"Sociocultural theories assert that interactions with others foster language learning, including during middle childhood, when students are mastering the language that supports skilled reading and writing in school settings, or ‘academic language’ (AL). Studies also document, however, how linguistically- and culturally-minoritized students, including Latinx youth, are afforded fewer opportunities to participate in classroom interactions that develop these language skills. Inspired by these accounts, we examine the role of classroom (e.g., classroom interactions, classroom composition) and learner characteristics (e.g., levels of AL resources) in AL learning for 1138 Latinx youth and their classmates across one academic year in 60 U.S. classrooms (ages 10–14; grades 4–7). Of great importance for the design of instruction, our results revealed the role of individual language skills as well as of sociocultural mechanisms, including classmates' average levels of AL proficiency, in later language learning for all middle grade students; and, highlighted the importance of some aspects of equitable instruction, namely communal classroom interactions, for the AL learning of a subset of Latinx students with initially more developed AL resources than classmates. We interpret these results to suggest a need to attend to learner and classroom factors in the design of AL instruction for all students and, in particular, for Latinx youth. © 2021 Elsevier Inc.",Academic language; Academic outcomes; Language development; Latinx,Article,Final,,Scopus,2-s2.0-85119064506
"Pillai, R.M.; Loehr, A.M.; Yeo, D.J.; Hong, M.K.; Fazio, L.K.","Pillai, Raunak M. (57219391086); Loehr, Abbey Marie (56405429300); Yeo, Darren J. (56857282000); Hong, Min Kyung (57212390821); Fazio, Lisa K. (15057744500)",57219391086; 56405429300; 56857282000; 57212390821; 15057744500,Are There Costs to Using Incorrect Worked Examples in Mathematics Education?,2020,Journal of Applied Research in Memory and Cognition,9,4,,519,531,6,10.1016/j.jarmac.2020.06.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092531723&doi=10.1016%2Fj.jarmac.2020.06.007&partnerID=40&md5=ffbdd0acdc31a9eb9d1f47493991cd9a,"Using incorrect worked examples during mathematics instruction can improve student learning. However, teachers worry that students may confuse correct and incorrect examples over time, and memory research supports this fear. To examine if this forgetting occurs, we had undergraduates rate the correctness of correct and incorrect worked examples immediately and one week later (Experiment 1). Previously studied incorrect examples were rated as slightly more correct after the delay, but this did not affect ratings of unstudied examples or problem-solving accuracy. In Experiment 2, we more closely mimicked how incorrect worked examples are used in classroom settings. Again, we found only small changes in students’ memory for studied worked examples after the delay, and no changes for unstudied examples or problem-solving accuracy. Our findings suggest the costs of teaching with incorrect worked examples are limited to the specific studied problems, and do not affect learning of the underlying mathematical rule. © 2020 Society for Applied Research in Memory and Cognition",Illusory truth; Incorrect examples; Mathematics learning; Problem solving; Source memory; Worked examples,Article,Final,,Scopus,2-s2.0-85092531723
"Hong, M.K.; Polyn, S.M.; Fazio, L.K.","Hong, Min Kyung (57212390821); Polyn, Sean M. (57204401394); Fazio, Lisa K. (15057744500)",57212390821; 57204401394; 15057744500,Examining the episodic context account: does retrieval practice enhance memory for context?,2019,Cognitive Research: Principles and Implications,4,1,46,,,13,10.1186/s41235-019-0202-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076547105&doi=10.1186%2Fs41235-019-0202-3&partnerID=40&md5=9fe90366e94df4a8120ac36ac7f1158c,"Retrieval practice, such as filling in blanks or taking quizzes, is firmly established as an effective study strategy. However, the underlying mechanism of how retrieval practice benefits memory is still unclear. One current theory, the episodic context account, proposes that retrieval enhances memory by reinstating a prior learning context. This retrieved context is then strengthened and updated to include context at the time of recall, which later serves as an effective retrieval cue. However, few studies have directly tested this hypothesis. We did so by examining participants’ memory for the initial study context. Across three experiments, participants encoded cue-target pairs presented in different colors and either restudied or practiced retrieving the targets. If retrieval practice benefits memory by reinstating the prior episodic context, participants who successfully retrieved the items during practice should have enhanced memory for context details (i.e. font color) compared to participants who restudied the pairs. Contrary to this prediction, memory for font colors did not differ between the restudy condition and the retrieval practice condition. Even when font color was actively attended to and integrated with the to-be-remembered items, retrieval practice did not increase memory for this aspect of context. Our results suggest that the context reinstated during retrieval practice is limited in nature. Aspects of the context that are not essential to retrieval of the item are not strengthened by retrieval practice. © 2019, The Author(s).",Context; Memory; Retrieval practice; Testing effect,Article,Final,All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access,Scopus,2-s2.0-85076547105
"Hong, M.K.; Yeo, D.J.; Rittle-Johnson, B.; Fazio, L.K.","Hong, Min Kyung (57212390821); Yeo, Darren J. (56857282000); Rittle-Johnson, Bethany (9036743000); Fazio, Lisa K. (15057744500)",57212390821; 56857282000; 9036743000; 15057744500,Are There Hidden Costs to Teaching Mathematics with Incorrect Examples?,2016,"Proceedings of the 38th Annual Meeting of the Cognitive Science Society, CogSci 2016",,,,265,270,1,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049660586&partnerID=40&md5=608baabc58047138d5bae3ebd3db51f8,"This study aims to address potential costs of using incorrect worked examples in teaching mathematics. While such practice has been shown to be effective in educational research, previous findings in the memory literature suggest that exposure to an incorrect solution may lead students to later believe that it is correct due to increased familiarity. We designed a two-session experiment with 1-week delay in which students studied correct and incorrect worked out examples. We found only small changes in students' ability to successfully distinguish between correct and incorrect solutions over time. Students did rate the previously studied incorrect examples as being more correct after the 1-wk delay, but this did not affect their correctness ratings of new correct and incorrect worked examples or their problem solving accuracy. We conclude that the unique nature of mathematical problem solving may protect students from the dangers of using incorrect worked examples. © 2016 Proceedings of the 38th Annual Meeting of the Cognitive Science Society, CogSci 2016. All rights reserved.",illusory truth; incorrect examples; mathematics learning; problem solving; source memory; worked examples,Conference paper,Final,,Scopus,2-s2.0-85049660586
