author_label,issue
Li_Yamin_57214236515.csv,missing_expertise_txt
Li_Yamin_57214236515.csv,missing_persona_row_in_author_music_personas
O_Grady_Kristin_57202653402.csv,missing_expertise_txt
O_Grady_Kristin_57202653402.csv,missing_persona_row_in_author_music_personas
Gao_Yurui_56163925700.csv,missing_expertise_txt
Gao_Yurui_56163925700.csv,missing_persona_row_in_author_music_personas
Koran_Mary_Ellen_55425645200.csv,missing_expertise_txt
Koran_Mary_Ellen_55425645200.csv,missing_persona_row_in_author_music_personas
Li_Hao_57224913502.csv,missing_expertise_txt
Li_Hao_57224913502.csv,missing_persona_row_in_author_music_personas
Li_Thomas_57557667700.csv,missing_expertise_txt
Li_Thomas_57557667700.csv,missing_persona_row_in_author_music_personas
Kulapatana_Surat_58659793200.csv,missing_expertise_txt
Kulapatana_Surat_58659793200.csv,missing_persona_row_in_author_music_personas
Nath_Vishwesh_57194026100.csv,missing_expertise_txt
Nath_Vishwesh_57194026100.csv,missing_persona_row_in_author_music_personas
Trujillo_Paula_57038630300.csv,missing_expertise_txt
Trujillo_Paula_57038630300.csv,missing_persona_row_in_author_music_personas
Islam_Sajal_58279591300.csv,missing_expertise_txt
Islam_Sajal_58279591300.csv,missing_persona_row_in_author_music_personas
Kaur_Harsimran_58115164100.csv,missing_expertise_txt
Kaur_Harsimran_58115164100.csv,missing_persona_row_in_author_music_personas
Liu_Xinran_57383255300.csv,missing_expertise_txt
Liu_Xinran_57383255300.csv,missing_persona_row_in_author_music_personas
Ruhl_J_B_7005543121.csv,missing_expertise_txt
Ruhl_J_B_7005543121.csv,missing_persona_row_in_author_music_personas
Suh_Yehyun_58643930300.csv,missing_expertise_txt
Suh_Yehyun_58643930300.csv,missing_persona_row_in_author_music_personas
Yu_Xin_57309160700.csv,missing_expertise_txt
Yu_Xin_57309160700.csv,missing_persona_row_in_author_music_personas
Franklin_Jacob_59140283400.csv,missing_expertise_txt
Franklin_Jacob_59140283400.csv,missing_persona_row_in_author_music_personas
Li_Rui_55686513800.csv,missing_expertise_txt
Li_Rui_55686513800.csv,missing_persona_row_in_author_music_personas
Lionts_Marilyn_58886284600.csv,missing_expertise_txt
Lionts_Marilyn_58886284600.csv,missing_persona_row_in_author_music_personas
Wernke_Steven_16069400900.csv,missing_expertise_txt
Wernke_Steven_16069400900.csv,missing_persona_row_in_author_music_personas
Khan_Christopher_57213141462.csv,missing_expertise_txt
Khan_Christopher_57213141462.csv,missing_persona_row_in_author_music_personas
Martin_Jonathan_57613540200.csv,missing_expertise_txt
Martin_Jonathan_57613540200.csv,missing_persona_row_in_author_music_personas
Ndukaife_Justus_55930117200.csv,missing_expertise_txt
Ndukaife_Justus_55930117200.csv,missing_persona_row_in_author_music_personas
Sappo_Charlotte_57196261544.csv,missing_expertise_txt
Sappo_Charlotte_57196261544.csv,missing_persona_row_in_author_music_personas
Schwartz_Trent_58785696800.csv,missing_expertise_txt
Schwartz_Trent_58785696800.csv,missing_persona_row_in_author_music_personas
Shahbazi_Ashkan_58485449800.csv,missing_expertise_txt
Shahbazi_Ashkan_58485449800.csv,missing_persona_row_in_author_music_personas
Bonomi_Luca_55522738500.csv,missing_expertise_txt
